date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:35	177225/177225	---M--	200	added ('OK')	image/jpeg	etag:W/%22495e577c89ea292a98ec6810d955a5f6%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/565824fce4b0c668da556c1f/1448617219523/11392932_1581967022052601_2696290731178792759_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/565824fce4b0c668da556c1f/1448617219523/11392932_1581967022052601_2696290731178792759_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:01:44	124785/124785	---M--	200	added ('OK')	image/jpeg	etag:W/%226f390edd44ccdd5a17fb5f2e6832cac2%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582504e4b0c668da556c42/1448617224115/11696346_1594681134114523_9077727200203052098_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582504e4b0c668da556c42/1448617224115/11696346_1594681134114523_9077727200203052098_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:01:45	121814/121814	---M--	200	added ('OK')	image/jpeg	etag:W/%22fe071b7b8a0e23b64cd45a162e43dab5%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582505e4b0c377c457f918/1448617224604/11709680_1595593897356580_1814142273184431295_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582505e4b0c377c457f918/1448617224604/11709680_1595593897356580_1814142273184431295_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:01:45	63308/63308	---M--	200	added ('OK')	image/jpeg	etag:W/%22e1cff03bd5796dea923e8c5fcc2af580%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582507e4b0c668da556c48/1448617228928/11728829_1595614150687888_3343820039310766445_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582507e4b0c668da556c48/1448617228928/11728829_1595614150687888_3343820039310766445_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:01:47	131164/131164	---M--	200	added ('OK')	image/jpeg	etag:W/%2295447270406396fa87469c18501e2d61%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582507e4b0c377c457f91b/1448617234071/11717348_1595208607395109_7844134269222611958_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582507e4b0c377c457f91b/1448617234071/11717348_1595208607395109_7844134269222611958_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:01:47	19387/19387	---M--	200	added ('OK')	image/jpeg	etag:W/%22363a920b523cda0d9885d409f3631235%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658250be4b0c668da556c5c/1448617227724/11745378_1595208344061802_2111435846325038300_n.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658250be4b0c668da556c5c/1448617227724/11745378_1595208344061802_2111435846325038300_n.jpg	(from http://www.dilseeducationfoundation.org/)
13:01:57	75437/75437	---M--	200	added ('OK')	image/jpeg	etag:W/%2217f97851e1b7b9513d4f46965d7f1f94%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658250be4b0c668da556c5f/1448617232081/11754569_1595208530728450_982165052746811665_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658250be4b0c668da556c5f/1448617232081/11754569_1595208530728450_982165052746811665_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:04	96437/96437	---M--	200	added ('OK')	image/jpeg	etag:W/%228368ab260e4163fb55086fde9ae16678%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582511e4b06b23bf1b3b82/1448617239232/11951461_1615146698734633_2896496327114228193_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582511e4b06b23bf1b3b82/1448617239232/11951461_1615146698734633_2896496327114228193_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:04	112373/112373	---M--	200	added ('OK')	image/jpeg	etag:W/%22c8b36143994e043438d797d96a1311ad%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658250ee4b0c668da556c6f/1448617234180/11856457_1603832173199419_530347728940047812_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/5658250ee4b0c668da556c6f/1448617234180/11856457_1603832173199419_530347728940047812_o.jpg	(from http://www.dilseeducationfoundation.org/)
13:02:05	117034/117034	---M--	200	added ('OK')	image/jpeg	etag:W/%22e6a0d10d3118354e05e47aade9e205ba%22	http://static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582510e4b0c377c457f948/1448617236819/11879090_1603794889869814_2740692091129718652_o.jpg	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/562b4e05e4b02f107e1371ef/565824dde4b0fad364e2b066/56582510e4b0c377c457f948/1448617236819/11879090_1603794889869814_2740692091129718652_o.jpg	(from http://www.dilseeducationfoundation.org/)
